Unit,Location,Teaching Period,Activity Type,Sequence,Days,Time,Duration,Start Date,End Date,Venue,Teaching Staff,Semester Weeks,Calendar Weeks,Comments,Unit Comments
SMA101 Mathematics 1A,Casuarina,Semester 1,Lecture,A/01,Monday,09:00-11:00,02:00,07/03/2022,30/05/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,Casuarina,Semester 1,Lecture,B/01,Tuesday,09:00-11:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.3.17#CAD Lab,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,Casuarina,Semester 1,Tutorial,A/01,Monday,14:00-16:00,02:00,07/03/2022,30/05/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,Casuarina,Semester 1,Tutorial,A/02,Tuesday,14:00-16:00,02:00,08/03/2022,31/05/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,External,Semester 1,Online Lecture,A/01,Monday,09:00-11:00,02:00,07/03/2022,30/05/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,External,Semester 1,Online Lecture,B/01,Tuesday,09:00-11:00,02:00,08/03/2022,31/05/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA101 Mathematics 1A,External,Semester 1,Online Tutorial,A/01,Wednesday,15:00-16:00,01:00,09/03/2022,01/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA102 Mathematics 1B,External,Semester 1,Online Tutorial,A/02,Tuesday,12:30-14:00,01:30,08/03/2022,31/05/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA102 Mathematics 1B,External,Semester 1,Online Tutorial,A/01,Friday,10:30-12:00,01:30,11/03/2022,03/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,Casuarina,Semester 1,Lecture,A/01,Wednesday,08:30-10:30,02:00,09/03/2022,01/06/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,Casuarina,Semester 1,Tutorial,"A/01 <10-14, 17-22>",Friday,13:00-15:00,02:00,11/03/2022,03/06/2022,CAS.Pink 7.1.05#,"Ompong, David","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,Casuarina,Semester 1,Tutorial,A/01 <15>,Thursday,17:00-19:00,02:00,14/04/2022,14/04/2022,CAS.Pink 7.1.05#,"Ompong, David",'6,'15,,There are no messages posted for this unit
SMA104 Concepts of Mathematics,External,Semester 1,Online Lecture,A/01,Wednesday,08:30-10:30,02:00,09/03/2022,01/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA104 Concepts of Mathematics,External,Semester 1,Online Tutorial,A/01,Friday,15:00-16:00,01:00,11/03/2022,03/06/2022,,"Ompong, David","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,Casuarina,Semester 1,Lecture,A/01,Tuesday,11:00-13:00,02:00,08/03/2022,31/05/2022,CAS.Blue 5.1.01#,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,Casuarina,Semester 1,Tutorial,A/01,Tuesday,14:00-16:00,02:00,08/03/2022,31/05/2022,CAS.Blue 5.1.01#,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,External,Semester 1,Online Lecture,A/01,Tuesday,11:00-13:00,02:00,08/03/2022,31/05/2022,,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
SMA209 Mathematics 2,External,Semester 1,Online Tutorial,A/01,Tuesday,14:00-16:00,02:00,08/03/2022,31/05/2022,,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM281 Teaching the Curriculum: Junior Secondary English,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ECM551 Teaching the Curriculum: Junior Secondary Languages Other Than English,Casuarina,Semester 1,Lecture,A/01,Monday,14:00-15:00,01:00,07/03/2022,30/05/2022,CAS.Red 6.1.09,"Gromik, Nicolas","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM551 Teaching the Curriculum: Junior Secondary Languages Other Than English,External,Semester 1,Online Lecture/Tutorial,A/01,Monday,15:30-16:30,01:00,07/03/2022,30/05/2022,,"Gromik, Nicolas","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM581 Teaching the Curriculum: Junior Secondary English,Casuarina,Semester 1,Lecture/Tutorial,A/01,Wednesday,09:00-11:30,02:30,09/03/2022,01/06/2022,CAS.Blue 1.1.14#,"Angel, Khyiah","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ECM581 Teaching the Curriculum: Junior Secondary English,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
"ELA100 English, Language and Literacy in Education 1",Casuarina,Semester 1,Workshop - Lecture,A/01,Monday,09:00-12:00,03:00,07/03/2022,30/05/2022,CAS.Blue 2A.1.01#,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA100 English, Language and Literacy in Education 1",External,Semester 1,Online Workshop,A/01,Monday,09:00-12:00,03:00,07/03/2022,30/05/2022,,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA200 English, Language and Literacy in Education 2",Casuarina,Semester 1,Lecture/Tutorial,A/01,Tuesday,17:00-18:30,01:30,08/03/2022,31/05/2022,CAS.Orange 2.4.07 #,"Jalloh, Sulay","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA200 English, Language and Literacy in Education 2",External,Semester 1,Online Lecture/Tutorial,A/01,Tuesday,17:00-18:30,01:30,08/03/2022,31/05/2022,,"Jalloh, Sulay","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA201 Teaching English as An Additional Language,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ELA201 Teaching English as An Additional Language,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
"ELA300 English, Language and Literacy in Education 3",Casuarina,Semester 1,Lecture/Tutorial,A/01,Monday,13:00-15:00,02:00,07/03/2022,30/05/2022,CAS.Blue 1.1.14#,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA300 English, Language and Literacy in Education 3",External,Semester 1,Online Lecture/Tutorial,A/01,Monday,13:00-15:00,02:00,07/03/2022,30/05/2022,,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA511 English, Language and Literacy",Casuarina,Semester 1,Lecture/Tutorial,A/01,Thursday,11:00-13:00,02:00,10/03/2022,02/06/2022,CAS.Blue 1.1.42#,"Freeman, Leonard","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
"ELA511 English, Language and Literacy",External,Semester 1,Online Lecture/Tutorial,A/01,Thursday,11:00-13:00,02:00,10/03/2022,02/06/2022,,"Freeman, Leonard","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA512 English Literacy: Reading and Writing,Casuarina,Semester 1,Lecture/Tutorial,A/01,Tuesday,09:00-12:00,03:00,08/03/2022,31/05/2022,CAS.Blue 2A.1.01#,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA512 English Literacy: Reading and Writing,External,Semester 1,Online Lecture/Tutorial,A/01,Tuesday,09:00-12:00,03:00,08/03/2022,31/05/2022,,"Noad, Betty","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA513 English as An Additional Language,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ELA513 English as An Additional Language,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ELA515 Primary Specialisation: English and Literature,Casuarina,Semester 1,Lecture/Practical,A/01,Thursday,10:00-11:00,01:00,10/03/2022,02/06/2022,CAS.Red 6.1.10,"Angel, Khyiah","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA515 Primary Specialisation: English and Literature,Casuarina,Semester 1,Online Tutorial,A/01,Thursday,11:30-12:30,01:00,10/03/2022,02/06/2022,,"Angel, Khyiah","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA515 Primary Specialisation: English and Literature,External,Semester 1,Online Tutorial,A/01,Thursday,11:30-12:30,01:00,10/03/2022,02/06/2022,,"Angel, Khyiah","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA522 Primary Specialisation: Languages Other Than English,Casuarina,Semester 1,Lecture,A/01,Wednesday,10:00-11:00,01:00,09/03/2022,01/06/2022,CAS.Red 6.1.11,"Gromik, Nicolas","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ELA522 Primary Specialisation: Languages Other Than English,External,Semester 1,Online Lecture/Tutorial,A/01,Wednesday,11:30-12:30,01:00,09/03/2022,01/06/2022,,"Gromik, Nicolas","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG151 Statics,Casuarina,Semester 1,Lecture,"A/01 <10-15, 17, 22>",Thursday,08:30-10:30,02:00,10/03/2022,02/06/2022,CAS.Purple 12.1.15#,"Rajabipour, Ali","'1-6,7,12","'10-15,17,22",,There are no messages posted for this unit
ENG151 Statics,Casuarina,Semester 1,Lecture,A/01 <18-21>,Thursday,08:30-11:00,02:30,05/05/2022,26/05/2022,CAS.Purple 12.1.23#,"Rajabipour, Ali",'8-11,'18-21,,There are no messages posted for this unit
ENG151 Statics,Casuarina,Semester 1,Online Practical,A/01,Thursday,17:00-19:00,02:00,10/03/2022,02/06/2022,,,"'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG151 Statics,Casuarina,Semester 1,Tutorial,"A/01 <10-15, 17, 22>",Friday,08:30-10:30,02:00,11/03/2022,03/06/2022,CAS.Purple 12.3.14#*,"Rajabipour, Ali","'1-6,7,12","'10-15,17,22",,There are no messages posted for this unit
ENG151 Statics,Casuarina,Semester 1,Tutorial,A/01 <18-21>,Friday,08:30-11:00,02:30,06/05/2022,27/05/2022,CAS.Purple 12.3.14#*,"Rajabipour, Ali",'8-11,'18-21,,There are no messages posted for this unit
ENG151 Statics,External,Semester 1,Online Lecture,"A/01 <10-15, 17, 22>",Thursday,08:30-10:30,02:00,10/03/2022,02/06/2022,,"Rajabipour, Ali","'1-6,7,12","'10-15,17,22",,There are no messages posted for this unit
ENG151 Statics,External,Semester 1,Online Lecture,A/01 <18-21>,Thursday,08:30-11:00,02:30,05/05/2022,26/05/2022,,"Rajabipour, Ali",'8-11,'18-21,,There are no messages posted for this unit
ENG151 Statics,External,Semester 1,Online Practical,A/01,Thursday,17:00-19:00,02:00,10/03/2022,02/06/2022,,,"'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG151 Statics,External,Semester 1,Online Tutorial,"A/01 <10-15, 17, 22>",Friday,08:30-10:30,02:00,11/03/2022,03/06/2022,,"Rajabipour, Ali","'1-6,7,12","'10-15,17,22",,There are no messages posted for this unit
ENG151 Statics,External,Semester 1,Online Tutorial,A/01 <18-21>,Friday,08:30-11:00,02:30,06/05/2022,27/05/2022,,"Rajabipour, Ali",'8-11,'18-21,,There are no messages posted for this unit
ENG215 Surveying and Construction,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG215 Surveying and Construction,External,Semester 1,Online Workshop/Lecture,A/01,Tuesday-Wednesday,09:00-11:00,02:00,08/03/2022,01/06/2022,,"Ng, Anne","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,Casuarina,Semester 1,Lecture,"A/01 <10-15, 19-22>",Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,CAS.Purple 12.1.23#,"Debnath, Kamal","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,Casuarina,Semester 1,Lecture,A/01 <17-18>,Tuesday,09:00-11:00,02:00,26/04/2022,03/05/2022,CAS.Purple 12.1.23#,"Debnath, Kamal",'7-8,'17-18,,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,Casuarina,Semester 1,Practical/Tutorial,"A/01 <10-15, 19-22>",Monday,13:00-16:00,03:00,07/03/2022,30/05/2022,CAS.Purple 12.1.17# CAS.Purple 12.1.23#,"Debnath, Kamal","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,Casuarina,Semester 1,Practical/Tutorial,A/01 <17-18>,Tuesday,16:00-19:00,03:00,26/04/2022,03/05/2022,CAS.Purple 12.1.17# CAS.Purple 12.1.23#,"Debnath, Kamal",'7-8,'17-18,,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,External,Semester 1,Online Lecture,"A/01 <10-15, 19-22>",Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,,"Debnath, Kamal","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,External,Semester 1,Online Lecture,A/01 <17-18>,Tuesday,09:00-11:00,02:00,26/04/2022,03/05/2022,,"Debnath, Kamal",'7-8,'17-18,,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,External,Semester 1,Online Practical/Tutorial,"A/01 <10-15, 19-22>",Monday,13:00-16:00,03:00,07/03/2022,30/05/2022,,"Debnath, Kamal","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG223 Electrical Circuit Analysis,External,Semester 1,Online Practical/Tutorial,A/01 <17-18>,Tuesday,16:00-19:00,03:00,26/04/2022,03/05/2022,,"Debnath, Kamal",'7-8,'17-18,,There are no messages posted for this unit
ENG235 Manufacturing,Casuarina,Semester 1,Lecture,A/01,Tuesday,09:00-11:00,02:00,08/03/2022,31/05/2022,CAS.Purple  2.1.01#,"Klaric, Stefanija","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG235 Manufacturing,Casuarina,Semester 1,Practical/Tutorial,A/01,Wednesday,13:00-15:00,02:00,09/03/2022,01/06/2022,CAS.Purple  2.1.01#,"Klaric, Stefanija","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG235 Manufacturing,External,Semester 1,Online Workshop,A/01,Wednesday,17:00-17:30,00:30,09/03/2022,01/06/2022,,"Klaric, Stefanija","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG246 Process Analysis,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG247 Fluid and Thermodynamics,Casuarina,Semester 1,Workshop - Practical/Tutorial,A/01,"Monday,Friday",14:00-16:00,02:00,07/03/2022,03/06/2022,CAS.Purple 12.3.14#* CAS.Pink 7.1.19,"Herrera Diaz, Luis","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG247 Fluid and Thermodynamics,External,Semester 1,Online Workshop-Practical/Tutorial,A/01,"Monday,Friday",14:00-16:00,02:00,07/03/2022,03/06/2022,,"Herrera Diaz, Luis","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG304 Design Project,Casuarina,Semester 1,Lecture,"A/01 <10-15, 19-22>",Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,CAS.Blue 1.1.42#,"Elumalai, Naveen Kumar","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG304 Design Project,Casuarina,Semester 1,Lecture,A/01 <17-18>,Tuesday,09:00-11:00,02:00,26/04/2022,03/05/2022,CAS.Blue 1.1.42#,"Elumalai, Naveen Kumar",'7-8,'17-18,,There are no messages posted for this unit
ENG304 Design Project,Casuarina,Semester 1,Tutorial,"A/01 <10-15, 19-22>",Monday,14:00-15:30,01:30,07/03/2022,30/05/2022,CAS.Blue 1.1.42#,"Elumalai, Naveen Kumar","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG304 Design Project,Casuarina,Semester 1,Tutorial,A/01 <17-18>,Tuesday,16:00-17:30,01:30,26/04/2022,03/05/2022,CAS.Blue 2.2.25#,"Elumalai, Naveen Kumar",'7-8,'17-18,,There are no messages posted for this unit
ENG304 Design Project,External,Semester 1,Lecture,"A/01 <10-15, 19-22>",Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,,"Elumalai, Naveen Kumar","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG304 Design Project,External,Semester 1,Lecture,A/01 <17-18>,Tuesday,09:00-11:00,02:00,26/04/2022,03/05/2022,,"Elumalai, Naveen Kumar",'7-8,'17-18,,There are no messages posted for this unit
ENG304 Design Project,External,Semester 1,Tutorial,"A/01 <10-15, 19-22>",Monday,14:00-15:30,01:30,07/03/2022,30/05/2022,,"Elumalai, Naveen Kumar","'1-6,9-12","'10-15,19-22",,There are no messages posted for this unit
ENG304 Design Project,External,Semester 1,Tutorial,A/01 <17-18>,Tuesday,16:00-17:30,01:30,26/04/2022,03/05/2022,,"Elumalai, Naveen Kumar",'7-8,'17-18,,There are no messages posted for this unit
ENG311 Geomechanics,External,Semester 1,Online Workshop-Practical/Tutorial,B/01,Wednesday,15:00-17:00,02:00,09/03/2022,01/06/2022,,"Ng, Anne","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG311 Geomechanics,External,Semester 1,Online Workshop/Lecture,A/01,Wednesday,11:00-13:00,02:00,09/03/2022,01/06/2022,,"Ng, Anne","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG325 Systems Modelling and Control,Casuarina,Semester 1,Lecture,A/01,Wednesday,09:00-11:00,02:00,09/03/2022,01/06/2022,CAS.Purple 12.2.22,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG325 Systems Modelling and Control,Casuarina,Semester 1,Practical/Tutorial,A/01,Wednesday,12:00-14:00,02:00,09/03/2022,01/06/2022,CAS.Purple 12.1.17#,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG325 Systems Modelling and Control,Casuarina,Semester 1,Tutorial,A/01,Wednesday,12:00-14:00,02:00,09/03/2022,01/06/2022,CAS.Purple 12.2.22,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG325 Systems Modelling and Control,External,Semester 1,Online Lecture,A/01,Wednesday,09:00-11:00,02:00,09/03/2022,01/06/2022,,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG325 Systems Modelling and Control,External,Semester 1,Online Tutorial,A/01,Wednesday,12:00-14:00,02:00,09/03/2022,01/06/2022,,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG341 Separation Process Principles,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG364 Materials Engineering,Casuarina,Semester 1,Lecture,A/01,Thursday,11:00-13:00,02:00,10/03/2022,02/06/2022,CAS.Purple 12.2.15,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG364 Materials Engineering,Casuarina,Semester 1,Workshop - Practical/Tutorial,A/01,Thursday,14:00-16:00,02:00,10/03/2022,02/06/2022,CAS.Purple 12.2.15,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG364 Materials Engineering,External,Semester 1,Online Lecture,A/01,Thursday,11:00-13:00,02:00,10/03/2022,02/06/2022,,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG364 Materials Engineering,External,Semester 1,Online Workshop-Practical/Tutorial,A/01,Thursday,14:00-16:00,02:00,10/03/2022,02/06/2022,,"Khanam, Taslima","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG442 Chemical Engineering Thermodynamics,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG443 Reactor Design,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG444 Hydrocarbon Processing,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.3.14#*,"Elumalai, Naveen Kumar","'1-6,7-12","'10-15,17-22",Integrated Designs & System Design (Mechanical),There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.1.23#,"Chan, Erwin","'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Electrical & Electronics),There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.3.17#CAD Lab,"James, Adam","'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Civil & Structure),There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.2.19#,"Nguyen, Khanh Vinh","'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Chemical),There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.3.14#*,"Elumalai, Naveen Kumar","'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Mechanical),There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.1.23#,"Chan, Erwin","'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Electrical & Electronics),There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.3.17#CAD Lab,"James, Adam","'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Civil & Structure),There are no messages posted for this unit
ENG450+PRT650 ,Casuarina,Semester 1,Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,CAS.Purple 12.2.19#,"Nguyen, Khanh Vinh","'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Chemical),There are no messages posted for this unit
ENG450+PRT650 ,External,Semester 1,Online Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Mechanical),There are no messages posted for this unit
ENG450+PRT650 ,External,Semester 1,Online Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Electrical & Electronics),There are no messages posted for this unit
ENG450+PRT650 ,External,Semester 1,Online Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Civil & Structure),There are no messages posted for this unit
