Unit,Location,Teaching Period,Activity Type,Sequence,Days,Time,Duration,Start Date,End Date,Venue,Teaching Staff,Semester Weeks,Calendar Weeks,Comments,Unit Comments
ENG450+PRT650 ,External,Semester 1,Online Lecture,A/01,Wednesday,13:00-14:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Chemical),There are no messages posted for this unit
ENG450+PRT650 ,External,Semester 1,Online Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Mechanical),There are no messages posted for this unit
ENG450+PRT650 ,External,Semester 1,Online Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Electrical & Electronics),There are no messages posted for this unit
ENG450+PRT650 ,External,Semester 1,Online Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Civil & Structure),There are no messages posted for this unit
ENG450+PRT650 ,External,Semester 1,Online Tutorial,A/01,Wednesday,14:00-15:00,01:00,09/03/2022,01/06/2022,,,"'1-6,7-12","'10-15,17-22",Integrated Design & System Design (Chemical),There are no messages posted for this unit
ENG450 Integrated Design,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450 Integrated Design,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450 Integrated Design,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450 Integrated Design,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450 Integrated Design,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450 Integrated Design,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450 Integrated Design,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG450 Integrated Design,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG515 Water Resources Engineering,Casuarina,Semester 1,Lecture,A/01,Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,CAS.Purple 12.1.15#,"Fairfield, Charlie","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG515 Water Resources Engineering,Casuarina,Semester 1,Lecture/Tutorial,A/01,Monday,13:00-15:00,02:00,07/03/2022,30/05/2022,CAS.Purple 12.1.28#,"Fairfield, Charlie","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG515 Water Resources Engineering,External,Semester 1,Online Lecture,A/01,Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,,"Fairfield, Charlie","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG515 Water Resources Engineering,External,Semester 1,Online Lecture/Tutorial,A/01,Monday,13:00-15:00,02:00,07/03/2022,30/05/2022,,"Fairfield, Charlie","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG516 Road and Traffic Engineering,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG524 Power Engineering,Casuarina,Semester 1,Lecture,"A/01 <10-14, 17-22>",Friday,10:00-12:00,02:00,11/03/2022,03/06/2022,CAS.Purple 12.1.23#,"Debnath, Kamal","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG524 Power Engineering,Casuarina,Semester 1,Lecture,A/01 <15>,Thursday,12:00-14:00,02:00,14/04/2022,14/04/2022,CAS.Purple 12.1.23#,"Debnath, Kamal",'6,'15,,There are no messages posted for this unit
ENG524 Power Engineering,Casuarina,Semester 1,Practical/Tutorial,"A/01 <10-14, 17-22>",Friday,13:00-16:00,03:00,11/03/2022,03/06/2022,CAS.Purple 12.1.17# CAS.Purple 12.1.23#,"Debnath, Kamal","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG524 Power Engineering,Casuarina,Semester 1,Practical/Tutorial,A/01 <15>,Thursday,15:00-18:00,03:00,14/04/2022,14/04/2022,CAS.Purple 12.1.17# CAS.Purple 12.1.23#,"Debnath, Kamal",'6,'15,,There are no messages posted for this unit
ENG524 Power Engineering,External,Semester 1,Online Lecture,"A/01 <10-14, 17-22>",Friday,10:00-12:00,02:00,11/03/2022,03/06/2022,,"Debnath, Kamal","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG524 Power Engineering,External,Semester 1,Online Lecture,A/01 <15>,Thursday,12:00-14:00,02:00,14/04/2022,14/04/2022,,"Debnath, Kamal",'6,'15,,There are no messages posted for this unit
ENG524 Power Engineering,External,Semester 1,Online Practical/Tutorial,"A/01 <10-14, 17-22>",Friday,13:00-16:00,03:00,11/03/2022,03/06/2022,,"Debnath, Kamal","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG524 Power Engineering,External,Semester 1,Online Practical/Tutorial,A/01 <15>,Thursday,15:00-18:00,03:00,14/04/2022,14/04/2022,,"Debnath, Kamal",'6,'15,,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,Casuarina,Semester 1,Lecture,"A/01 <10-14, 17-22>",Friday,10:00-12:00,02:00,11/03/2022,03/06/2022,CAS.Blue 5.1.01#,"Elumalai, Naveen Kumar","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,Casuarina,Semester 1,Lecture,A/01 <15>,Monday,15:30-17:30,02:00,11/04/2022,11/04/2022,CAS.Blue 5.1.01#,"Elumalai, Naveen Kumar",'6,'15,,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,Casuarina,Semester 1,Online Test,A/01,Friday,12:00-14:00,02:00,29/04/2022,29/04/2022,,"Elumalai, Naveen Kumar",'7,'17,,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,Casuarina,Semester 1,Tutorial,"A/01 <10-14, 17-22>",Friday,14:00-16:00,02:00,11/03/2022,03/06/2022,CAS.Blue 5.1.01#,"Elumalai, Naveen Kumar","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,Casuarina,Semester 1,Tutorial,A/01 <15>,Thursday,15:30-17:30,02:00,14/04/2022,14/04/2022,CAS.Blue 5.1.01#,"Elumalai, Naveen Kumar",'6,'15,,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,External,Semester 1,Lecture,"A/01 <10-14, 17-22>",Friday,10:00-12:00,02:00,11/03/2022,03/06/2022,,"Elumalai, Naveen Kumar","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,External,Semester 1,Lecture,A/01 <15>,Monday,15:30-17:30,02:00,11/04/2022,11/04/2022,,"Elumalai, Naveen Kumar",'6,'15,,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,External,Semester 1,Online Test,A/01,Friday,12:00-14:00,02:00,29/04/2022,29/04/2022,,"Elumalai, Naveen Kumar",'7,'17,,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,External,Semester 1,Tutorial,"A/01 <10-14, 17-22>",Friday,14:00-16:00,02:00,11/03/2022,03/06/2022,,"Elumalai, Naveen Kumar","'1-5,7-12","'10-14,17-22",,There are no messages posted for this unit
ENG534 Dynamics of Engineering Systems,External,Semester 1,Tutorial,A/01 <15>,Thursday,15:30-17:30,02:00,14/04/2022,14/04/2022,,"Elumalai, Naveen Kumar",'6,'15,,There are no messages posted for this unit
ENG567 Design of Steel Structures,Casuarina,Semester 1,Lecture,A/01,Thursday,10:00-12:00,02:00,10/03/2022,02/06/2022,CAS.Purple 12.3.14#*,"Bazli, Milad","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG567 Design of Steel Structures,Casuarina,Semester 1,Tutorial,A/01,Thursday,14:00-16:00,02:00,10/03/2022,02/06/2022,CAS.Purple 12.3.14#*,"Bazli, Milad","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG567 Design of Steel Structures,External,Semester 1,Lecture,A/01,Thursday,10:00-12:00,02:00,10/03/2022,02/06/2022,,"Bazli, Milad","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG567 Design of Steel Structures,External,Semester 1,Tutorial,A/01,Thursday,14:00-16:00,02:00,10/03/2022,02/06/2022,,"Bazli, Milad","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG569 Structural Analysis,Casuarina,Semester 1,Lecture,A/01,Tuesday,08:30-10:30,02:00,08/03/2022,31/05/2022,CAS.Purple 12.1.22#,"Rajabipour, Ali","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG569 Structural Analysis,Casuarina,Semester 1,Tutorial,A/01,Wednesday,08:30-10:30,02:00,09/03/2022,01/06/2022,CAS.Purple 12.1.17#,"Rajabipour, Ali","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG569 Structural Analysis,External,Semester 1,Online Lecture,A/01,Tuesday,08:30-10:30,02:00,08/03/2022,31/05/2022,,"Rajabipour, Ali","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG569 Structural Analysis,External,Semester 1,Online Tutorial,A/01,Wednesday,08:30-10:30,02:00,09/03/2022,01/06/2022,,"Rajabipour, Ali","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG571 Analogue Devices,Casuarina,Semester 1,Lecture,A/01,Tuesday,09:00-11:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.2.22,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG571 Analogue Devices,Casuarina,Semester 1,Practical,A/01,Tuesday,12:00-14:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.1.17#,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG571 Analogue Devices,Casuarina,Semester 1,Practical/Tutorial,A/01,Tuesday,12:00-14:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.2.22,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG571 Analogue Devices,External,Semester 1,Online Lecture,A/01,Tuesday,09:00-11:00,02:00,08/03/2022,31/05/2022,,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG571 Analogue Devices,External,Semester 1,Online Practical/Tutorial,A/01,Tuesday,12:00-14:00,02:00,08/03/2022,31/05/2022,,"Vafi, Sina","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG572 Digital Signal Processing,Casuarina,Semester 1,Online Lecture,"A/01 <10-15, 20-22>",Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,,"de Boer, Friso","'1-6,10-12","'10-15,20-22",,There are no messages posted for this unit
ENG572 Digital Signal Processing,Casuarina,Semester 1,Online Lecture,A/01 <19>,Monday,14:00-16:00,02:00,09/05/2022,09/05/2022,,"de Boer, Friso",'9,'19,,There are no messages posted for this unit
ENG572 Digital Signal Processing,Casuarina,Semester 1,Online Practical,A/01 <10>,Monday,15:00-17:00,02:00,07/03/2022,07/03/2022,CAS.Purple 12.3.17#CAD Lab,"de Boer, Friso",'1,'10,,There are no messages posted for this unit
ENG572 Digital Signal Processing,Casuarina,Semester 1,Online Practical,"A/01 <11-15, 20-22>",Monday,14:00-16:00,02:00,14/03/2022,30/05/2022,CAS.Purple 12.3.17#CAD Lab,"de Boer, Friso","'2-6,10-12","'11-15,20-22",,There are no messages posted for this unit
ENG572 Digital Signal Processing,Casuarina,Semester 1,Online Test,A/01,Monday,10:00-12:30,02:30,09/05/2022,09/05/2022,,"de Boer, Friso",'9,'19,,There are no messages posted for this unit
ENG572 Digital Signal Processing,External,Semester 1,Online Lecture,"A/01 <10-15, 20-22>",Monday,10:00-12:00,02:00,07/03/2022,30/05/2022,,"de Boer, Friso","'1-6,10-12","'10-15,20-22",,There are no messages posted for this unit
ENG572 Digital Signal Processing,External,Semester 1,Online Lecture,A/01 <19>,Monday,14:00-16:00,02:00,09/05/2022,09/05/2022,,"de Boer, Friso",'9,'19,,There are no messages posted for this unit
ENG572 Digital Signal Processing,External,Semester 1,Online Practical,A/01 <10>,Monday,15:00-17:00,02:00,07/03/2022,07/03/2022,,"de Boer, Friso",'1,'10,,There are no messages posted for this unit
ENG572 Digital Signal Processing,External,Semester 1,Online Practical,"A/01 <11-15, 20-22>",Monday,14:00-16:00,02:00,14/03/2022,30/05/2022,,"de Boer, Friso","'2-6,10-12","'11-15,20-22",,There are no messages posted for this unit
ENG572 Digital Signal Processing,External,Semester 1,Online Test,A/01,Monday,10:00-12:30,02:30,09/05/2022,09/05/2022,,"de Boer, Friso",'9,'19,,There are no messages posted for this unit
ENG574 Power System Analysis,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG574 Power System Analysis,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
ENG580 Applied Fluid Mechanics,Casuarina,Semester 1,Online Lecture,A/01,Thursday,10:00-12:00,02:00,10/03/2022,02/06/2022,,"Mehdizadeh Rad, Hooman","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG580 Applied Fluid Mechanics,Casuarina,Semester 1,Online Tutorial,A/01,Thursday,13:00-15:00,02:00,10/03/2022,02/06/2022,,"Mehdizadeh Rad, Hooman","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG580 Applied Fluid Mechanics,External,Semester 1,Online Lecture,A/01,Thursday,10:00-12:00,02:00,10/03/2022,02/06/2022,,"Mehdizadeh Rad, Hooman","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG580 Applied Fluid Mechanics,External,Semester 1,Online Tutorial,A/01,Thursday,13:00-15:00,02:00,10/03/2022,02/06/2022,,"Mehdizadeh Rad, Hooman","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG586 Machine Design,Casuarina,Semester 1,Lecture/Tutorial,A/01,Tuesday,10:00-12:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.2.15,"Kannoorpatti, Krishnan","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG586 Machine Design,Casuarina,Semester 1,Tutorial,A/01,Tuesday,13:00-15:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.2.15,"Kannoorpatti, Krishnan","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG586 Machine Design,Casuarina,Semester 1,Tutorial,B/01,Tuesday,15:00-17:00,02:00,08/03/2022,31/05/2022,CAS.Purple 12.2.15,"Kannoorpatti, Krishnan","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG586 Machine Design,External,Semester 1,Lecture,A/01,Tuesday,10:00-12:00,02:00,08/03/2022,31/05/2022,,"Kannoorpatti, Krishnan","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG586 Machine Design,External,Semester 1,Online Tutorial,B/01,Tuesday,15:00-17:00,02:00,08/03/2022,31/05/2022,,"Kannoorpatti, Krishnan","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG586 Machine Design,External,Semester 1,Tutorial,A/01,Tuesday,13:00-15:00,02:00,08/03/2022,31/05/2022,,"Kannoorpatti, Krishnan","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
ENG720+PRT820 ,Casuarina,Semester 1,Lecture/Seminar,A/01,Thursday,10:30-12:00,01:30,24/03/2022,02/06/2022,CAS.Purple 12.1.15#,"Elumalai, Naveen Kumar","'3-6,7-12","'12-15,17-22",Honours Thesis &  Masters Thesis,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720+PRT820 ,Casuarina,Semester 1,Online Workshop,B/01,Tuesday,13:00-17:00,04:00,26/04/2022,26/04/2022,,"de Boer, Friso",'7,'17,Honours Thesis + Master Thesis - Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720+PRT820 ,External,Semester 1,Online Workshop,B/01,Tuesday,13:00-17:00,04:00,26/04/2022,26/04/2022,,"de Boer, Friso",'7,'17,Honours Thesis + Master Thesis - Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,Casuarina,Semester 1,Online Workshop,"A/01 <10, 12, 15, 17-22>",Tuesday,13:00-17:00,04:00,08/03/2022,31/05/2022,,"de Boer, Friso","'1,3,6,7-12","'10,12,15,17-22",Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,Casuarina,Semester 1,Online Workshop,A/01 <11>,Monday,15:00-17:00,02:00,14/03/2022,14/03/2022,,"de Boer, Friso",'2,'11,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,Casuarina,Semester 1,Online Workshop,D/01,Tuesday,13:00-15:00,02:00,15/03/2022,15/03/2022,,,'2,'11,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,Casuarina,Semester 1,Online Workshop,A/01 <13>,Monday,13:00-15:00,02:00,28/03/2022,28/03/2022,,"de Boer, Friso",'4,'13,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,Casuarina,Semester 1,Online Workshop,C/01,Tuesday,15:00-17:00,02:00,29/03/2022,29/03/2022,,,'4,'13,#NAME?,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,Casuarina,Semester 1,Online Workshop,A/01 <14>,Monday,13:00-17:00,04:00,04/04/2022,04/04/2022,,"de Boer, Friso",'5,'14,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,External,Semester 1,Online Workshop,"A/01 <10, 12, 15, 17-22>",Tuesday,13:00-17:00,04:00,08/03/2022,31/05/2022,,"de Boer, Friso","'1,3,6,7-12","'10,12,15,17-22",Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,External,Semester 1,Online Workshop,A/01 <11>,Monday,15:00-17:00,02:00,14/03/2022,14/03/2022,,"de Boer, Friso",'2,'11,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,External,Semester 1,Online Workshop,D/01,Tuesday,13:00-15:00,02:00,15/03/2022,15/03/2022,,,'2,'11,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,External,Semester 1,Online Workshop,A/01 <13>,Monday,13:00-15:00,02:00,28/03/2022,28/03/2022,,"de Boer, Friso",'4,'13,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,External,Semester 1,Online Workshop,C/01,Tuesday,15:00-17:00,02:00,29/03/2022,29/03/2022,,,'4,'13,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
ENG720 Honours Thesis,External,Semester 1,Online Workshop,A/01 <14>,Monday,13:00-17:00,04:00,04/04/2022,04/04/2022,,"de Boer, Friso",'5,'14,Refer to Learnline for a Detailed Research Skills Workshop Timetable,Refer to Learnline for a detailed Research Skills Workshop timetable
EPE312 Professional Experience: Engaging in Evidence-Based Practice,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
EPE312 Professional Experience: Engaging in Evidence-Based Practice,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
EPE531 Impactful Teaching and Learner Engagement for Secondary,Casuarina,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
EPE531 Impactful Teaching and Learner Engagement for Secondary,External,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
FSP001 Foundation English a,Darwin Waterfront,Semester 1,Lecture,A/01,Monday,12:30-14:30,02:00,07/03/2022,30/05/2022,WFD.5.07,"Kerle, Olga","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
FSP001 Foundation English a,Darwin Waterfront,Semester 1,Tutorial,A/01,Wednesday,14:30-16:30,02:00,09/03/2022,01/06/2022,WFD.5.07,"Kerle, Olga","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
FSP002 Foundation English B,Darwin Waterfront,Semester 1,Lecture,A/01,Monday,12:30-14:30,02:00,07/03/2022,30/05/2022,,**TBA,"'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
FSP002 Foundation English B,Darwin Waterfront,Semester 1,Tutorial,A/01,Wednesday,14:30-16:30,02:00,09/03/2022,01/06/2022,,**TBA,"'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
FSP003 Foundation English C,Darwin Waterfront,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
HIT374 Enterprise Network Engineering,Casuarina,Semester 1,Workshop,A/01,Tuesday,09:00-13:00,04:00,08/03/2022,31/05/2022,CAS.Purple 12.3.23 Cisco Lab,"Yeo, Charles","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
HIT374 Enterprise Network Engineering,External,Semester 1,Online Workshop,A/01,Tuesday,09:00-13:00,04:00,08/03/2022,31/05/2022,,"Yeo, Charles","'1-6,7-12","'10-15,17-22",,There are no messages posted for this unit
MQP004 English for Postgraduate Studies,Darwin Waterfront,Semester 1,No scheduled activities, ,,,,,,,,,,,There are no messages posted for this unit
NUR255 Challenges to Health and Wellbeing,Alice Springs,Semester 1,Simulation Block,A/01 (NUR244),Wednesday-Thursday,08:00-16:00,08:00,16/03/2022,02/06/2022,ASP.01.2.04,,"'2,12","'11,22",Nur244-Nursing Practice 2,There are no messages posted for this unit
NUR255 Challenges to Health and Wellbeing,Casuarina,Semester 1,Simulation Block,B/01  (NUR244),Monday-Friday,08:00-17:00,09:00,21/03/2022,08/04/2022,CAS.Blue 5.1.106/106d,,'3-5,'12-14,,There are no messages posted for this unit
NUR255 Challenges to Health and Wellbeing,Casuarina,Semester 1,Simulation Block,A/01 (NUR244) <22-23>,Monday-Friday,08:00-17:00,09:00,30/05/2022,10/06/2022,CAS.Blue 5.1.49/52 CAS.Blue 5.1.40,,'12-13,'22-23,,There are no messages posted for this unit
NUR255 Challenges to Health and Wellbeing,Casuarina,Semester 1,Simulation Block,A/02 (NUR244) <22-23>,Monday-Friday,08:00-17:00,09:00,30/05/2022,10/06/2022,CAS.Blue 5.1.106/106d,,'12-13,'22-23,,There are no messages posted for this unit
NUR255 Challenges to Health and Wellbeing,Casuarina,Semester 1,Simulation Block,A/01 (NUR244) <24>,Tuesday-Friday,08:00-17:00,09:00,14/06/2022,17/06/2022,CAS.Blue 5.1.49/52 CAS.Blue 5.1.40,,'14,'24,,There are no messages posted for this unit
